Aisle ID,Product family,Items considered,Avg length (in),SD of length (in),Max length (in),Min length (in),Avg width  (in),SD of width (in),Max width (in),Min width (in),Avg height (in),SD of height (in),Max height (in),Min height (in),Avg weight (lbs),SD of weight (lbs),Max weight (lbs),Min weight (lbs),Avg price (USD),SD of price (USD),Max price (USD),Min price (USD)
46,Mint gum,80,5.6775,3.4092081189999996,25.0,0.02,4.8455,3.57630348,30.0,0.14,3.42825,2.252751777,8.8,0.08,0.8643984379999999,0.742538274,3.52,0.02,17.14285714,14.37799122,70.35,1.14
47,Vitamins supplements,71,4.328450704,1.9531437280000001,12.36,1.57,3.09943662,1.5618220930000002,10.47,1.46,3.632957746,1.755786673,10.0,0.91,0.49424295799999995,0.43171631,2.03,0.03875,162.2038889,417.0717128,1800.0,7.29
48,Breakfast bars pastries,64,7.4690625,3.7415889669999998,17.2,0.67,5.2253125,2.10243243,10.3,1.5,5.03875,1.706028061,9.0,1.54,1.050498047,1.329370875,8.0,0.005625,13.36866667,9.097837943,29.99,3.99
49,Packaged poultry,57,7.380175438999999,3.626339896,16.0,1.83,5.269473683999999,2.604986579,11.6,0.31,3.991929825,1.974291409,8.37,0.8,1.394309211,1.911447797,10.23,0.02,19.25,12.06816374,59.95,4.82
50,Fruit vegetable snacks,51,8.389411765,3.9539096660000004,17.63,1.0,6.926470588,2.663152135,13.19,1.0,6.048039216,2.7598253710000002,17.35,1.0,1.116286765,1.538435596,6.0,0.00875,22.27363636,15.78261973,64.89,7.24
51,Preserved dips spreads,59,5.451186441,3.26546933,15.94,0.02,4.616610168999999,2.477509602,13.46,0.02,3.3735593219999997,2.616837894,15.1,0.06,0.8364512709999999,1.208650976,6.8,0.0625,15.182,5.756968965,24.95,4.94
52,Frozen breakfast,45,7.768888888999999,3.796395553,20.56,1.5,5.766,2.8618481,15.44,0.9,4.541111111,2.6530267640000003,10.0,0.75,0.861097222,0.8351277159999999,3.38,0.028125,5.930833333,4.612311707,31.49,2.99
53,Cream,39,5.234871795,3.4450909939999996,14.06,1.18,4.2294871789999995,2.497278465,12.36,1.35,4.54025641,2.306207284,9.38,0.39,0.901378205,0.9725607159999999,4.67,0.000625,9.888695652000001,10.08562537,34.99,2.19
54,Paper goods,30,13.921,5.269335723,24.02,5.2,11.41333333,5.22157879,20.75,2.25,9.466000000000001,4.908610029,22.63,0.71,5.981666667000001,5.19717968,18.4,0.090625,18.60888889,19.77486311,59.24,4.19
55,Shave needs,61,5.588688525,4.641501365,33.37,1.0,4.847540984,4.249771231,33.37,1.0,4.174262295,4.688068351,33.37,0.39,0.536137295,0.47860606899999997,1.95,0.00125,29.20703704,17.11868633,69.9,6.99
56,Diapers wipes,61,9.359344262,4.226549763,18.5,1.09,7.948196721,3.7144625039999997,21.5,2.36,7.23147541,3.1645778210000004,14.75,0.39,6.067059426,5.637076912,20.35,0.01,16.68357143,11.13230131,43.98,2.19
57,Granola,57,7.7717543860000005,4.2784535439999996,15.8,1.75,6.756666667,2.460743451,13.54,1.64,6.243859649,2.814343843,11.0,1.85,1.007214912,1.156475419,6.2,0.00625,7.6545,3.630491449,19.99,4.48
58,Frozen breads doughs,47,7.672765957,3.754008699,16.26,1.0,5.51212766,2.5535226619999998,11.5,0.75,5.506808511,3.0875663039999997,11.2,0.28,1.450212766,2.439973955,12.5,0.04,18.78083333,27.50627506,115.98,3.99
59,Canned meals beans,60,8.303166667000001,4.4682493789999995,17.09,0.6,6.4725,2.819129945,10.71,0.74,4.455666667,1.630957259,8.0,0.37,3.142979167,4.452114902,15.04,0.000625,22.18333333,18.60752293,59.99,0.9
60,Trash bags liners,15,9.822000000000001,6.142759036,21.65,2.0,8.064666667000001,4.637409786,17.72,2.29,5.619333332999999,5.238840475,21.65,1.57,5.572,5.650308162000001,16.21,0.34,25.22333333,34.46019491,64.97,3.72
61,Cookies cakes,57,9.035614035,3.691978282,19.0,0.02,7.516140351000001,3.02962383,13.9,0.02,4.838421053,3.083726172,12.0,0.1,1.3598214290000001,1.28812848,7.2,0.016875,27.476999999999997,18.70836014,92.99,4.49
62,White wines,19,10.22315789,4.973878492,17.4,1.5,5.811052632000001,2.99620852,13.1,2.3,6.364210526,3.13912818,13.78,2.76,2.944901316,3.1157990539999996,10.6,0.044375,18.558,11.4280077,36.99,2.28
63,Grains rice dried goods,183,10.05142077,3.9287644719999997,23.3,1.0,6.604262295,2.662310278,15.0,0.98,4.551748634,2.998088072,15.0,0.28,4.3665778689999994,5.441222627,26.0,0.000625,21.17933333,18.89584104,100.0,3.42
64,Energy sports drinks,189,7.982116402000001,3.4605475169999997,13.86,1.5,6.257354497000001,2.65887662,14.0,1.5,5.856084656,2.735443974,15.0,0.5,3.494550265,4.876631523,17.2,0.000625,30.7398,19.4822245,94.97,1.69
65,Protein meal replacements,195,8.272051282,3.497479637,18.54,2.0,6.322153846,2.134884404,14.55,1.57,6.8042051279999995,2.500785394,13.25,1.0,3.531852564,4.034289091000001,18.85,0.033125,56.2402439,25.87561685,112.73,16.74
66,Asian foods,150,7.7666,3.3432779060000004,17.0,1.5,5.5902,2.794637595,12.68,0.5,4.8016,2.462512244,10.63,1.0,1.3163875,1.285511535,7.1,0.0125,13.5212,10.51137916,46.5,2.79
67,Fresh dips tapenades,116,6.70612069,3.3404713989999997,15.94,2.5,5.103189655,2.805410487,14.3,0.8,3.904827586,2.073469046,9.25,0.31,1.123733836,1.309573908,6.0,0.000625,15.23156627,7.054513083,44.95,3.49
68,Bulk grains rice dried goods,112,10.06544643,4.132997928,23.3,1.0,6.841875,2.7004719410000004,15.0,1.0,4.618214286000001,3.033721947,15.0,0.55,5.510429687999999,7.447776834,43.0,0.000625,20.39467742,17.44526802,77.45,3.42
69,Soup broth bouillon,128,7.849296875,18.59753879,153.0,1.0,4.300078125,3.921045075,30.0,0.47,4.366640625,7.575302315,62.0,0.03,1.448774414,3.434540913,19.9,0.02,14.92878788,9.052996362,51.99,3.69
70,Digestion,78,3.73525641,1.694977856,11.0,0.39,2.671410256,1.071688466,7.4,0.39,3.218589744,1.605978865,8.1,0.39,0.390424679,0.758721326,6.66,0.004375,18.96888889,12.49388269,39.49,3.99
71,Refrigerated pudding desserts,33,7.144242424,3.4271426060000003,17.28,2.4,6.058787879,1.784803486,11.38,1.3,4.44969697,1.78891637,9.75,2.09,2.548238636,3.7645689339999997,14.75,0.0175,13.585999999999999,7.291164516,20.49,5.99
72,Condiments,25,6.7888,4.421297246,19.0,1.75,5.2996,3.3543820589999997,14.0,1.75,4.2892,2.0753331459999997,10.0,1.5,1.9843,2.206423862,7.7,0.00375,14.44266667,10.149115,44.95,4.3
73,Facial care,25,6.0,2.480552694,11.25,1.57,4.21,1.925378751,7.8,0.75,2.468,2.18269329,8.27,0.13,0.5584,0.44869381799999997,1.95,0.09,19.34454545,13.70854067,50.0,8.45
